round_end_date,trial_id,participant_id,round_number,practice_round,num_rounds_since_survey,input_lag,time_for_round, total_screen_width,total_screen_height,device_orderings,num_devices_switched,device,num_clicks,ID,IP,target_width,target_center_x,target_center_y,mouse_position_at_click_x,mouse_position_at_click_y,start_mouse_pos_x,start_mouse_pos_y,distance_between_starting_mouse_and_target,distance_between_middle_and_target,movement_error,movement_offset,movement_variability,task_axis_crossing,target_reentry,move_direction_change,ortho_move_direction_change,total_path_distance,random_seed,num_path_points,travel_path_x,travel_path_y
7/9/2018 11:02:31 AM,0,0,1,1,1,0,0.03174667,16,10,M->D->T->C,1,Mouse,1,1.321928,41.63989,2,1.300317,-2.808364,1.265474,-2.535753,-0.02200842,-0.1155114,3,3.094791,0,0,0,0,0,0,0,0,1,2,-0.02200842:-0.02200842,-0.1155114:-0.1155114
7/9/2018 11:02:33 AM,0,0,2,1,2,0,0.7586269,16,10,M->D->T->C,1,Mouse,1,1.807355,2.382403,2,4.988986,0.2354282,4.775791,0.247525,-0.01100397,0.2255225,5,4.994538,0.006889727,0.006845652,0.007115068,1,0,2,0,4.787563,1,92,-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:0.03301239:0.07702923:0.165062:0.2751036:0.4181566:0.5281982:0.8033009:1.0674:1.397524:1.716643:2.035764:2.332875:2.762035:3.015131:3.356258:3.565337:3.862449:4.049519:4.258597:4.34663:4.47868:4.544704:4.610729:4.66575:4.698762:4.72077:4.731774:4.742779:4.742779:4.742779:4.753782:4.753782:4.764787:4.764787:4.764787:4.764787:4.764787:4.764787:4.764787:4.764787:4.764787:4.764787:4.764787:4.764787:4.775791:4.775791:4.775791:4.775791:4.775791:4.775791:4.775791,0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2365237:0.247525:0.247525:0.247525:0.247525:0.247525:0.247525:0.247525:0.247525:0.247525:0.247525:0.247525:0.247525:0.247525:0.247525:0.247525:0.247525:0.247525:0.247525:0.247525:0.247525:0.247525:0.247525:0.247525:0.247525:0.247525:0.247525:0.247525:0.247525:0.247525:0.247525:0.247525:0.247525:0.247525:0.247525:0.247525:0.247525:0.247525:0.247525:0.247525:0.247525:0.247525:0.247525:0.247525:0.247525:0.247525
7/9/2018 11:02:34 AM,0,0,3,1,3,0,0.7095606,16,10,M->D->T->C,1,Mouse,1,2.169925,3.058125,2,-5.803682,4.139251,-6.316369,4.339934,0,0.2255225,7,7.128543,0.04599437,-0.04599437,0.05020516,0,0,5,0,7.546803,1,86,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:-0.07702875:-0.165062:-0.2861071:-0.3741403:-0.5171938:-0.6822557:-0.9353509:-1.144429:-1.452545:-1.639615:-1.969738:-2.233838:-2.541953:-2.751031:-3.136176:-3.345254:-3.686382:-3.906465:-4.247593:-4.489684:-4.797799:-4.984869:-5.292985:-5.447042:-5.656121:-5.766162:-5.909216:-5.986245:-6.118294:-6.173315:-6.250344:-6.272352:-6.305365:-6.316369:-6.316369:-6.316369:-6.316369:-6.316369:-6.316369:-6.316369:-6.316369:-6.316369:-6.316369:-6.316369:-6.316369:-6.316369,0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2585256:0.3135312:0.3795379:0.4345435:0.5115509:0.6105608:0.7645762:0.8965898:1.094609:1.215622:1.424642:1.611661:1.820682:1.963696:2.238724:2.392739:2.656765:2.79978:3.052805:3.217822:3.426843:3.547855:3.734874:3.822882:3.954896:4.009901:4.09791:4.141914:4.218922:4.251925:4.29593:4.306931:4.328933:4.339934:4.339934:4.339934:4.339934:4.339934:4.339934:4.339934:4.339934:4.339934:4.339934:4.339934:4.339934:4.339934
7/9/2018 11:02:36 AM,0,0,4,1,4,0,0.908017,16,10,M->D->T->C,1,Mouse,1,2,2.202602,1,2.56529,1.762633,2.839065,1.523652,-0.01100397,0.2255225,3,3.112489,0.2643404,-0.2643404,0.2335834,0,1,7,3,3.743287,1,109,-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:0.05502033:0.1320496:0.2200823:0.3411283:0.4731779:0.6272354:0.7922974:1.01238:1.210454:1.419533:1.628611:1.837689:2.068776:2.255846:2.45392:2.552958:2.707015:2.806052:2.905089:2.971114:3.026134:3.037139:3.048143:3.048143:3.048143:3.048143:3.048143:3.048143:3.048143:3.059147:3.070151:3.092159:3.114168:3.114168:3.114168:3.114168:3.125172:3.125172:3.114168:3.114168:3.103164:3.092159:3.081156:3.070151:3.070151:3.070151:3.059147:3.059147:3.059147:3.059147:3.048143:3.037139:3.026134:3.015131:3.004127:3.004127:2.993122:2.993122:2.982119:2.971114:2.949106:2.927097:2.894085:2.872077:2.850069:2.839065:2.839065:2.839065,0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2365237:0.2695268:0.3025305:0.3355336:0.3795379:0.4455447:0.5005503:0.5665565:0.6325632:0.69857:0.7755774:0.830583:0.907591:0.9735972:1.061606:1.105611:1.182618:1.237624:1.314632:1.358636:1.40264:1.413642:1.424642:1.424642:1.424642:1.424642:1.424642:1.424642:1.424642:1.424642:1.435643:1.446645:1.457646:1.457646:1.457646:1.457646:1.468647:1.479648:1.490649:1.50165:1.512651:1.523652:1.534653:1.545655:1.545655:1.545655:1.556656:1.556656:1.556656:1.556656:1.556656:1.556656:1.556656:1.556656:1.545655:1.545655:1.545655:1.545655:1.545655:1.545655:1.534653:1.534653:1.534653:1.523652:1.523652:1.523652:1.523652:1.523652
7/9/2018 11:02:37 AM,0,0,5,1,5,0,0.7590145,16,10,M->D->T->C,1,Mouse,1,2.584963,3.405683,1,-0.238451,-4.780792,-0.4181566,-4.504951,-0.02200842,0.2145213,5,4.786735,0.1116219,0.1113528,0.1237297,1,0,8,0,4.786128,1,92,-0.02200842:-0.02200842:-0.02200842:-0.02200842:-0.02200842:-0.02200842:-0.02200842:-0.02200842:-0.02200842:-0.02200842:-0.02200842:-0.02200842:-0.02200842:-0.02200842:-0.02200842:-0.02200842:-0.02200842:-0.02200842:-0.02200842:-0.02200842:-0.02200842:-0.02200842:-0.02200842:-0.02200842:-0.02200842:-0.02200842:-0.02200842:-0.02200842:-0.02200842:-0.02200842:-0.02200842:-0.02200842:-0.02200842:-0.02200842:-0.02200842:-0.02200842:-0.02200842:-0.02200842:-0.02200842:-0.02200842:-0.02200842:-0.02200842:-0.04401636:-0.05502081:-0.06602478:-0.07702875:-0.09903717:-0.09903717:-0.09903717:-0.1210456:-0.154058:-0.1760659:-0.1980743:-0.2420907:-0.2751031:-0.3081155:-0.3411279:-0.3741403:-0.3961487:-0.4181566:-0.440165:-0.4621735:-0.4731774:-0.4841814:-0.4841814:-0.4841814:-0.4841814:-0.4841814:-0.4841814:-0.4841814:-0.4841814:-0.4951859:-0.4951859:-0.4951859:-0.5061898:-0.5061898:-0.5061898:-0.4951859:-0.4841814:-0.4841814:-0.4731774:-0.4731774:-0.4731774:-0.4731774:-0.4731774:-0.4621735:-0.451169:-0.451169:-0.440165:-0.440165:-0.4291611:-0.4291611,0.2145213:0.2145213:0.2145213:0.2145213:0.2145213:0.2145213:0.2145213:0.2145213:0.2145213:0.2145213:0.2145213:0.2145213:0.2145213:0.2145213:0.2145213:0.2145213:0.2145213:0.2145213:0.2145213:0.2145213:0.2145213:0.2145213:0.2145213:0.2145213:0.2145213:0.2145213:0.2145213:0.2145213:0.2145213:0.2145213:0.2145213:0.2145213:0.2145213:0.2145213:0.2145213:0.2145213:0.2145213:0.2145213:0.2145213:0.170517:0.1155114:0.0715071:-0.005500615:-0.09350926:-0.1925191:-0.3025302:-0.4455444:-0.5995598:-0.7975799:-1.017602:-1.281628:-1.457646:-1.633663:-1.908691:-2.139714:-2.392739:-2.623763:-2.821782:-2.975798:-3.074808:-3.19582:-3.327833:-3.437844:-3.536854:-3.624862:-3.745875:-3.822882:-3.910891:-3.965897:-4.031903:-4.086909:-4.141914:-4.19692:-4.251925:-4.306931:-4.372937:-4.405941:-4.427943:-4.438944:-4.449945:-4.460946:-4.460946:-4.460946:-4.460946:-4.460946:-4.471947:-4.482948:-4.482948:-4.493949:-4.493949:-4.504951:-4.504951
7/9/2018 11:02:40 AM,0,0,6,1,6,0,1.13467,16,10,M->D->T->C,1,Mouse,2,3,2.643939,1,-6.791586,-1.513358,-6.822558,-1.633663,-0.01100397,0.2255225,7,6.958153,0.05554352,-0.04497278,0.06010976,2,0,17,1,8.029457,1,136,-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.03301239:-0.1100411:-0.1980743:-0.3741403:-0.5392022:-0.6822557:-0.8803301:-1.166438:-1.441541:-1.771664:-2.07978:-2.563962:-2.894085:-3.27923:-3.686382:-4.181568:-4.47868:-4.907841:-5.270977:-5.667125:-5.876204:-6.118294:-6.338377:-6.536451:-6.624484:-6.734526:-6.822558:-6.888583:-6.9326:-6.98762:-7.031637:-7.086658:-7.130674:-7.17469:-7.218707:-7.240715:-7.251719:-7.262723:-7.262723:-7.262723:-7.262723:-7.262723:-7.262723:-7.262723:-7.262723:-7.262723:-7.262723:-7.262723:-7.262723:-7.262723:-7.262723:-7.262723:-7.273727:-7.273727:-7.262723:-7.262723:-7.262723:-7.262723:-7.262723:-7.251719:-7.251719:-7.251719:-7.251719:-7.251719:-7.240715:-7.240715:-7.240715:-7.240715:-7.229711:-7.229711:-7.229711:-7.229711:-7.229711:-7.218707:-7.218707:-7.207703:-7.196699:-7.185695:-7.163686:-7.152682:-7.11967:-7.075654:-7.009629:-6.98762:-6.921596:-6.888583:-6.855571:-6.844567:-6.822558:-6.822558:-6.822558:-6.822558,0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2145213:0.1925194:0.1595157:0.1155114:0.0715071:0.02750278:-0.02750278:-0.1045105:-0.1925191:-0.2805281:-0.3355336:-0.4235423:-0.5115512:-0.5995598:-0.6765676:-0.7755774:-0.8415842:-0.9405941:-1.028603:-1.127613:-1.193619:-1.259626:-1.336634:-1.424643:-1.468647:-1.512651:-1.545655:-1.567657:-1.589659:-1.611661:-1.622662:-1.644664:-1.655666:-1.677668:-1.69967:-1.710671:-1.710671:-1.721672:-1.721672:-1.721672:-1.721672:-1.721672:-1.721672:-1.721672:-1.721672:-1.721672:-1.721672:-1.721672:-1.721672:-1.721672:-1.721672:-1.721672:-1.732673:-1.732673:-1.732673:-1.732673:-1.732673:-1.732673:-1.732673:-1.743674:-1.743674:-1.743674:-1.743674:-1.743674:-1.743674:-1.743674:-1.743674:-1.743674:-1.754676:-1.754676:-1.754676:-1.754676:-1.754676:-1.754676:-1.754676:-1.754676:-1.754676:-1.754676:-1.754676:-1.754676:-1.743674:-1.732673:-1.710671:-1.69967:-1.677668:-1.666667:-1.644664:-1.644664:-1.633663:-1.633663:-1.633663:-1.633663
7/9/2018 11:02:43 AM,0,0,7,0,7,0,0.4957667,16,10,M->D->T->C,2,Drawing_Tablet,1,1.321928,2.666432,2,2.999994,0.2754703,2.729023,0.247525,0,0.2695268,3,3.012615,0.008207205,-0.003919106,0.01372826,1,0,3,0,2.736221,1,59,0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0.01100445:0.07702923:0.1760664:0.3301239:0.5061893:0.6712513:1.01238:1.221458:1.452545:1.650619:1.925722:2.035764:2.178817:2.277854:2.387896:2.464925:2.552958:2.596973:2.64099:2.662998:2.685007:2.729023:2.729023,0.2695268:0.2695268:0.2695268:0.2695268:0.2695268:0.2695268:0.2695268:0.2695268:0.2695268:0.2695268:0.2695268:0.2695268:0.2695268:0.2695268:0.2695268:0.2695268:0.2695268:0.2695268:0.2695268:0.2695268:0.2695268:0.2695268:0.2695268:0.2695268:0.2695268:0.2695268:0.2695268:0.2695268:0.2695268:0.2695268:0.2695268:0.2695268:0.2695268:0.2695268:0.2695268:0.2695268:0.2805281:0.2805281:0.2915293:0.2915293:0.2915293:0.2915293:0.2915293:0.2695268:0.2695268:0.2695268:0.247525:0.247525:0.247525:0.247525:0.247525:0.247525:0.247525:0.247525:0.247525:0.247525:0.247525:0.247525:0.247525
7/9/2018 11:02:44 AM,0,0,8,0,8,0,0.6178385,16,10,M->D->T->C,2,Drawing_Tablet,1,1.807355,2.925287,2,-2.111894,4.762731,-1.89271,4.185919,-0.01100397,0.2255225,5,5.209962,0.0202815,-0.01638824,0.02635453,2,0,10,0,4.410159,1,75,-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.05502081:-0.1100411:-0.154058:-0.1870704:-0.2420907:-0.2861071:-0.3851442:-0.440165:-0.5612106:-0.6382394:-0.7592845:-0.8473177:-0.9573588:-1.034388:-1.155433:-1.210454:-1.309491:-1.375516:-1.496561:-1.551582:-1.628611:-1.683631:-1.749656:-1.782669:-1.826685:-1.848693:-1.870701:-1.870701:-1.881706:-1.881706:-1.881706:-1.881706:-1.89271:-1.89271:-1.89271:-1.89271:-1.89271:-1.89271:-1.89271,0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2585256:0.3135312:0.3795379:0.4345435:0.5665565:0.6875688:0.9185916:1.072607:1.325632:1.534653:1.820682:2.051705:2.315732:2.469747:2.755775:2.876788:3.096809:3.228823:3.437844:3.525853:3.668867:3.767877:3.877888:3.932893:4.020902:4.053905:4.086909:4.108911:4.130913:4.141914:4.152915:4.163916:4.185919:4.185919:4.185919:4.185919:4.185919:4.185919:4.185919
7/9/2018 11:02:45 AM,0,0,9,0,9,0,0.5936287,16,10,M->D->T->C,2,Drawing_Tablet,1,2.169925,3.655357,2,-5.814686,4.139251,-5.568088,3.558856,-0.01100397,0.2255225,7,7.137505,0.1380819,-0.1375645,0.1840725,1,0,4,0,6.545768,1,72,-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.01100397:-0.02200842:-0.06602478:-0.1430535:-0.2200828:-0.3301239:-0.5061898:-0.6492434:-0.8913341:-1.144429:-1.474553:-1.70564:-2.112792:-2.431912:-2.77304:-3.048143:-3.4663:-3.708391:-4.060523:-4.291609:-4.577717:-4.764787:-4.995873:-5.149931:-5.292985:-5.403026:-5.513067:-5.557084:-5.590096:-5.6011:-5.6011:-5.6011:-5.6011:-5.6011:-5.6011:-5.6011,0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2255225:0.2365237:0.2695268:0.3245324:0.3685367:0.4235423:0.5335534:0.5995601:0.7315731:0.8525854:1.028603:1.149615:1.336634:1.50165:1.677667:1.831683:2.051705:2.194719:2.40374:2.557756:2.755775:2.876788:3.041804:3.151815:3.261826:3.360836:3.459846:3.50385:3.536854:3.558856:3.569857:3.569857:3.569857:3.569857:3.569857:3.569857
7/9/2018 11:02:47 AM,0,0,10,0,10,0,0.7389494,16,10,M->D->T->C,2,Drawing_Tablet,1,2,2.706545,1,2.587298,1.751632,2.651995,1.578658,0.01100445,0.2145213,3,3.124472,0.2245817,-0.2245817,0.235309,0,0,1,1,4.177006,1,89,0.01100445:0.01100445:0.01100445:0.01100445:0.01100445:0.01100445:0.01100445:0.01100445:0.01100445:0.01100445:0.01100445:0.01100445:0.01100445:0.01100445:0.01100445:0.01100445:0.02200794:0.02200794:0.02200794:0.02200794:0.02200794:0.02200794:0.02200794:0.02200794:0.02200794:0.02200794:0.02200794:0.02200794:0.02200794:0.02200794:0.02200794:0.02200794:0.02200794:0.02200794:0.02200794:0.02200794:0.03301239:0.04401684:0.08803272:0.1320496:0.2200823:0.3191195:0.4621735:0.594223:0.7042637:0.9243469:1.122421:1.397524:1.683631:2.167813:2.332875:2.541953:2.751032:2.894085:3.026134:3.114168:3.191196:3.213205:3.235213:3.235213:3.235213:3.235213:3.224209:3.224209:3.224209:3.224209:3.224209:3.224209:3.224209:3.202201:3.169188:3.136176:3.092159:3.048143:3.004127:2.96011:2.883081:2.82806:2.751032:2.718019:2.696011:2.674003:2.662998:2.651995:2.651995:2.651995:2.651995:2.651995:2.651995,0.2145213:0.2145213:0.2145213:0.2145213:0.2145213:0.2145213:0.2145213:0.2145213:0.2145213:0.2145213:0.2145213:0.2145213:0.2145213:0.2145213:0.2145213:0.2145213:0.2035201:0.2035201:0.2035201:0.2035201:0.2035201:0.2035201:0.2035201:0.2035201:0.2035201:0.2035201:0.2035201:0.2035201:0.2035201:0.2035201:0.2035201:0.2035201:0.2035201:0.2035201:0.2035201:0.2035201:0.2035201:0.2035201:0.2145213:0.2255225:0.247525:0.2805281:0.3245324:0.3465348:0.3685367:0.4345435:0.489549:0.5665565:0.6655663:0.8195817:0.8855885:0.9735972:1.072607:1.149615:1.226622:1.30363:1.380638:1.413642:1.479648:1.50165:1.523652:1.523652:1.534653:1.534653:1.534653:1.534653:1.534653:1.534653:1.534653:1.545655:1.545655:1.545655:1.545655:1.545655:1.545655:1.545655:1.545655:1.545655:1.556656:1.567657:1.567657:1.578658:1.578658:1.578658:1.578658:1.578658:1.578658:1.578658:1.578658
